X_axis;Y_axis;R;G;B;Camera;Photo_number;Color
402;274;128;32;10;Canon G7X Mark ii;legocolor101.png;Orange
517;282;157;56;26;Canon G7X Mark ii;legocolor101.png;Orange
588;263;23;108;139;Canon G7X Mark ii;legocolor101.png;Medium Azure
778;267;18;101;135;Canon G7X Mark ii;legocolor101.png;Medium Azure
843;268;11;78;130;Canon G7X Mark ii;legocolor101.png;Dark Azure
871;269;10;77;129;Canon G7X Mark ii;legocolor101.png;Dark Azure
925;254;75;129;155;Canon G7X Mark ii;legocolor101.png;Aqua
957;255;84;134;159;Canon G7X Mark ii;legocolor101.png;Aqua
1005;248;118;97;30;Canon G7X Mark ii;legocolor101.png;Yellow
1034;251;117;94;27;Canon G7X Mark ii;legocolor101.png;Yellow
1095;298;118;114;76;Canon G7X Mark ii;legocolor101.png;Bright Light Yellow
1120;299;119;115;78;Canon G7X Mark ii;legocolor101.png;Bright Light Yellow
1195;199;116;82;132;Canon G7X Mark ii;legocolor101.png;Bright Pink
1225;200;114;82;132;Canon G7X Mark ii;legocolor101.png;Bright Pink
353;435;120;128;147;Canon G7X Mark ii;legocolor101.png;White
473;435;129;140;158;Canon G7X Mark ii;legocolor101.png;White
567;541;105;146;102;Canon G7X Mark ii;legocolor101.png;Yellowish Green
604;548;102;141;97;Canon G7X Mark ii;legocolor101.png;Yellowish Green
661;649;112;104;91;Canon G7X Mark ii;legocolor101.png;Tan
749;646;103;90;81;Canon G7X Mark ii;legocolor101.png;Tan
815;708;99;18;24;Canon G7X Mark ii;legocolor101.png;Red
844;706;103;18;25;Canon G7X Mark ii;legocolor101.png;Red
942;644;30;39;54;Canon G7X Mark ii;legocolor101.png;Dark Bluish Grey
1025;651;30;39;54;Canon G7X Mark ii;legocolor101.png;Dark Bluish Grey
1128;528;8;12;15;Canon G7X Mark ii;legocolor101.png;Black
1206;518;10;13;18;Canon G7X Mark ii;legocolor101.png;Black
1180;392;41;56;75;Canon G7X Mark ii;legocolor101.png;Light Bluish Grey
1266;388;52;69;87;Canon G7X Mark ii;legocolor101.png;Light Bluish Grey
1225;685;118;28;4;Canon G7X Mark ii;legocolor102.png;Orange
1448;679;134;32;7;Canon G7X Mark ii;legocolor102.png;Orange
866;769;37;110;119;Canon G7X Mark ii;legocolor102.png;Medium Azure
1145;778;37;112;117;Canon G7X Mark ii;legocolor102.png;Medium Azure
732;550;17;76;106;Canon G7X Mark ii;legocolor102.png;Dark Azure
782;550;15;78;109;Canon G7X Mark ii;legocolor102.png;Dark Azure
610;609;114;135;116;Canon G7X Mark ii;legocolor102.png;Aqua
657;609;106;130;114;Canon G7X Mark ii;legocolor102.png;Aqua
482;809;136;93;14;Canon G7X Mark ii;legocolor102.png;Yellow
534;807;139;98;16;Canon G7X Mark ii;legocolor102.png;Yellow
377;746;135;111;51;Canon G7X Mark ii;legocolor102.png;Bright Light Yellow
433;750;137;109;44;Canon G7X Mark ii;legocolor102.png;Bright Light Yellow
185;877;121;75;86;Canon G7X Mark ii;legocolor102.png;Bright Pink
257;878;127;79;91;Canon G7X Mark ii;legocolor102.png;Bright Pink
1188;430;123;111;97;Canon G7X Mark ii;legocolor102.png;White
1410;430;116;108;97;Canon G7X Mark ii;legocolor102.png;White
1055;510;73;95;56;Canon G7X Mark ii;legocolor102.png;Yellowish Green
1096;508;77;95;55;Canon G7X Mark ii;legocolor102.png;Yellowish Green
900;419;74;66;47;Canon G7X Mark ii;legocolor102.png;Tan
969;420;78;72;48;Canon G7X Mark ii;legocolor102.png;Tan
792;331;73;14;20;Canon G7X Mark ii;legocolor102.png;Red
835;331;88;15;22;Canon G7X Mark ii;legocolor102.png;Red
609;430;26;30;31;Canon G7X Mark ii;legocolor102.png;Dark Bluish Grey
702;438;23;27;30;Canon G7X Mark ii;legocolor102.png;Dark Bluish Grey
420;365;9;13;14;Canon G7X Mark ii;legocolor102.png;Black
485;374;13;14;16;Canon G7X Mark ii;legocolor102.png;Black
280;438;66;68;65;Canon G7X Mark ii;legocolor102.png;Light Bluish Grey
410;441;64;65;60;Canon G7X Mark ii;legocolor102.png;Light Bluish Grey
1104;491;140;37;4;Canon G7X Mark ii;legocolor103.png;Orange
1136;497;145;56;24;Canon G7X Mark ii;legocolor103.png;Orange
1159;600;34;106;131;Canon G7X Mark ii;legocolor103.png;Medium Azure
1345;606;33;99;123;Canon G7X Mark ii;legocolor103.png;Medium Azure
1088;609;16;61;103;Canon G7X Mark ii;legocolor103.png;Dark Azure
1108;610;12;55;97;Canon G7X Mark ii;legocolor103.png;Dark Azure
1181;663;101;120;114;Canon G7X Mark ii;legocolor103.png;Aqua
1183;756;103;119;108;Canon G7X Mark ii;legocolor103.png;Aqua
1238;841;133;117;58;Canon G7X Mark ii;legocolor103.png;Yellow
1291;843;136;117;61;Canon G7X Mark ii;legocolor103.png;Yellow
1311;797;128;91;20;Canon G7X Mark ii;legocolor103.png;Bright Light Yellow
