X_axis;Y_axis;R;G;B;Camera;Photo_number;Color;Hue;Saturation;Value;Y;U;V;R_Average;G_Average;B_Average
402;274;128;32;10;Canon G7X Mark ii;legocolor101.png;Orange;11.0;0.921875;0.50196078;58.196;-23.712432;61.218108;114;99;86
517;282;157;56;26;Canon G7X Mark ii;legocolor101.png;Orange;14.0;0.8343949;0.61568627;82.779;-27.935268;65.091817;114;99;86
588;263;23;108;139;Canon G7X Mark ii;legocolor101.png;Medium Azure;196.0;0.83453237;0.54509804;86.119;26.017452;-55.355363;114;99;86
778;267;18;101;135;Canon G7X Mark ii;legocolor101.png;Medium Azure;197.0;0.86666667;0.52941176;80.059;27.030972;-54.425743;114;99;86
843;268;11;78;130;Canon G7X Mark ii;legocolor101.png;Dark Azure;206.0;0.91538462;0.50980392;63.895;32.52366;-46.388915;114;99;86
871;269;10;77;129;Canon G7X Mark ii;legocolor101.png;Dark Azure;206.0;0.92248062;0.50588235;62.895;32.52366;-46.388915;114;99;86
925;254;75;129;155;Canon G7X Mark ii;legocolor101.png;Aqua;200.0;0.51612903;0.60784314;115.818;19.277544;-35.797386;114;99;86
957;255;84;134;159;Canon G7X Mark ii;legocolor101.png;Aqua;200.0;0.47169811;0.62352941;121.9;18.2532;-33.2383;114;99;86
1005;248;118;97;30;Canon G7X Mark ii;legocolor101.png;Yellow;46.0;0.74576271;0.4627451;95.641;-32.295372;19.608843;114;99;86
1034;251;117;94;27;Canon G7X Mark ii;legocolor101.png;Yellow;45.0;0.76923077;0.45882353;93.239;-32.589588;20.838397;114;99;86
1095;298;118;114;76;Canon G7X Mark ii;legocolor101.png;Bright Light Yellow;54.0;0.3559322;0.4627451;110.864;-17.153088;6.258272;114;99;86
1120;299;119;115;78;Canon G7X Mark ii;legocolor101.png;Bright Light Yellow;54.0;0.34453782;0.46666667;111.978;-16.717176;6.158294;114;99;86
1195;199;116;82;132;Canon G7X Mark ii;legocolor101.png;Bright Pink;281.0;0.37878788;0.51764706;97.866;16.793928;15.903518;114;99;86
1225;200;114;82;132;Canon G7X Mark ii;legocolor101.png;Bright Pink;278.0;0.37878788;0.51764706;97.268;17.088144;14.673964;114;99;86
353;435;120;128;147;Canon G7X Mark ii;legocolor101.png;White;222.0;0.18367347;0.57647059;127.774;9.459192;-6.817798;114;99;86
473;435;129;140;158;Canon G7X Mark ii;legocolor101.png;White;217.0;0.1835443;0.61960784;138.763;9.464604;-8.562151;114;99;86
567;541;105;146;102;Canon G7X Mark ii;legocolor101.png;Yellowish Green;116.0;0.30136986;0.57254902;128.725;-13.1487;-20.806825;114;99;86
604;548;102;141;97;Canon G7X Mark ii;legocolor101.png;Yellowish Green;113.0;0.31205674;0.55294118;124.323;-13.442916;-19.577271;114;99;86
661;649;112;104;91;Canon G7X Mark ii;legocolor101.png;Tan;37.0;0.1875;0.43921569;104.91;-6.84372;6.21793;114;99;86
749;646;103;90;81;Canon G7X Mark ii;legocolor101.png;Tan;25.0;0.21359223;0.40392157;92.861;-5.835612;8.891903;114;99;86
815;708;99;18;24;Canon G7X Mark ii;legocolor101.png;Red;356.0;0.81818182;0.38823529;42.903;-9.300276;49.197069;114;99;86
844;706;103;18;25;Canon G7X Mark ii;legocolor101.png;Red;355.0;0.82524272;0.40392157;44.213;-9.452796;51.556199;114;99;86
942;644;30;39;54;Canon G7X Mark ii;legocolor101.png;Dark Bluish Grey;218.0;0.44444444;0.21176471;38.019;7.862652;-7.032663;114;99;86
1025;651;30;39;54;Canon G7X Mark ii;legocolor101.png;Dark Bluish Grey;218.0;0.44444444;0.21176471;38.019;7.862652;-7.032663;114;99;86
1128;528;8;12;15;Canon G7X Mark ii;legocolor101.png;Black;206.0;0.46666667;0.05882353;11.146;1.896168;-2.759042;114;99;86
